"05-2023","Maio 2023",223032,60
"01-2023","Janeiro 2023",223033,48
"02-2023","Fevereiro 2023",223033,204
"03-2023","Março 2023",223033,108
"04-2023","Abril 2023",223033,528
"05-2023","Maio 2023",223033,72
"06-2023","Junho 2023",223033,72
"01-2023","Janeiro 2023",223035,60
"02-2023","Fevereiro 2023",223035,132
"03-2023","Março 2023",223035,108
"04-2023","Abril 2023",223035,156
"05-2023","Maio 2023",223035,156
"06-2023","Junho 2023",223035,84
"01-2023","Janeiro 2023",223039,12
"02-2023","Fevereiro 2023",223039,12
"06-2023","Junho 2023",223039,12
"01-2023","Janeiro 2023",223043,60
"02-2023","Fevereiro 2023",223043,24
"03-2023","Março 2023",223043,12
"04-2023","Abril 2023",223043,84
"05-2023","Maio 2023",223043,72
"06-2023","Junho 2023",223043,60
"01-2023","Janeiro 2023",223045,156
"02-2023","Fevereiro 2023",223045,264
"03-2023","Março 2023",223045,144
"04-2023","Abril 2023",223045,444
"05-2023","Maio 2023",223045,348
"06-2023","Junho 2023",223045,72
"01-2023","Janeiro 2023",223046,48
"02-2023","Fevereiro 2023",223046,552
"03-2023","Março 2023",223046,24
"04-2023","Abril 2023",223046,48
"05-2023","Maio 2023",223046,24
"06-2023","Junho 2023",223046,24
"01-2023","Janeiro 2023",223047,72
"02-2023","Fevereiro 2023",223047,60
"03-2023","Março 2023",223047,120
"04-2023","Abril 2023",223047,228
"05-2023","Maio 2023",223047,216
"06-2023","Junho 2023",223047,72
"01-2023","Janeiro 2023",223048,204
"02-2023","Fevereiro 2023",223048,216
"03-2023","Março 2023",223048,228
"04-2023","Abril 2023",223048,468
"05-2023","Maio 2023",223048,732
"06-2023","Junho 2023",223048,480
"01-2023","Janeiro 2023",223049,6
"03-2023","Março 2023",223049,6
"04-2023","Abril 2023",223049,18
"05-2023","Maio 2023",223049,30
"06-2023","Junho 2023",223049,36
"01-2023","Janeiro 2023",223050,48
"02-2023","Fevereiro 2023",223050,36
"04-2023","Abril 2023",223050,72
"05-2023","Maio 2023",223050,12
"06-2023","Junho 2023",223050,24
"01-2023","Janeiro 2023",223051,108
"02-2023","Fevereiro 2023",223051,84
"03-2023","Março 2023",223051,108
"04-2023","Abril 2023",223051,228
"05-2023","Maio 2023",223051,264
"06-2023","Junho 2023",223051,156
"01-2023","Janeiro 2023",223054,180
"02-2023","Fevereiro 2023",223054,384
"03-2023","Março 2023",223054,204
"04-2023","Abril 2023",223054,348
"05-2023","Maio 2023",223054,492
"06-2023","Junho 2023",223054,204
"01-2023","Janeiro 2023",223055,24
"03-2023","Março 2023",223055,6
"04-2023","Abril 2023",223055,18
"05-2023","Maio 2023",223055,24
"06-2023","Junho 2023",223055,36
