354,"AZUL ACQUA","255255255"
25,"AZUL AGUA","255255255"
76,"AZUL ALFAZEMA","255255255"
367,"AZUL AQUA","255255255"
1932,"AZUL ASHLEY","255255255"
2577,"AZUL BACHELOR B","255255255"
2570,"AZUL BALTICO","255255255"
2042,"AZUL BEBE","255255255"
2567,"AZUL BLUEPRINT","255255255"
77,"AZUL CAPRI","255255255"
2435,"AZUL CEL","255255255"
218,"AZUL CELESTE","101141198"
1392,"AZUL CEU","255255255"
217,"AZUL CINTILANTE","255255255"
170,"AZUL CLARO","147180215"
283,"AZUL COBALTO","057093141"
2327,"AZUL COMFY","255255255"
2440,"AZUL CRISTAL","255255255"
2480,"AZUL CYAN","255255255"
2569,"AZUL DESLUMBRAN","255255255"
169,"AZUL ESCURO","255255255"
2456,"AZUL ESMALTE","255255255"
78,"AZUL ESTRELA","255255255"
893,"AZUL ESTRELA JE","255255255"
79,"AZUL FIRENZE","255255255"
202,"AZUL FLUORESCEN","255255255"
2388,"AZUL FRANCIA","255255255"
326,"AZUL GLITTER","255255255"
1188,"AZUL GLITTER PR","255255255"
80,"AZUL INDIGO","073081109"
2468,"AZUL INFINITO","255255255"
1652,"AZUL JEANS","255255255"
2124,"AZUL LAVADO","255255255"
81,"AZUL LAVANDA","155171187"
82,"AZUL MALIBU","056097146"
2389,"AZUL MANCLAIR","255255255"
207,"AZUL MARINHO","255255255"
1186,"AZUL MEDIO","255255255"
2095,"AZUL METALICO","255255255"
65,"AZUL MINERAL","050049055"
1889,"AZUL NAUTICO","019041075"
83,"AZUL NAVAL","048101142"
272,"AZUL NEGRITO","036063108"
313,"AZUL NEVOA","255255255"
2039,"AZUL NOITE","255255255"
2580,"AZUL NORDICO","255255255"
1177,"AZUL OPACO","173190211"
84,"AZUL PASTEL","183192214"
1184,"AZUL PEROLADO","255255255"
185,"AZUL PETROLEO","042059078"
1933,"AZUL PISCINA","123196196"
741,"AZUL PRATEADO","255255255"
85,"AZUL PROVENCE","255255255"
2433,"AZUL REAL","255255255"
1178,"AZUL REEBOK","255255255"
2474,"AZUL REGATA","255255255"
192,"AZUL ROYAL","255255255"
2587,"AZUL SAFIRA","255255255"
86,"AZUL SKY","255255255"
235,"AZUL SOLAR","255255255"
347,"AZUL SPLASH","255255255"
325,"AZUL TRADE","255255255"
368,"AZUL TRADICIONA","255255255"
2415,"AZUL TRANQUILID","255255255"
1622,"AZUL TRANSPAREN","255255255"
1180,"AZUL TURQUESA","255255255"
2571,"AZUL VERNA","255255255"
1934,"AZUL WATER","255255255"
2401,"AZUL WATER","255255255"
1903,"BLUE R","255255255"
1805,"B. SADDLE","255255255"
1826,"B. SANDDLE","255255255"
1636,"B.PINK","255255255"
2434,"BABY PINK","255255255"
2605,"BAHIA MAGENTA","255255255"
903,"BAHIA MINT","255255255"
1302,"BAKED EARTH","255255255"
2377,"BALL LAMELO","255255255"
1156,"BALTIC BLUE","255255255"
2514,"BALTIC BLUEPALE","255255255"
2573,"BANANA CREAM","255255255"
856,"BARELY GRAPE","255255255"
1343,"BARELY GREEN","255255255"
2241,"BARELY GREEN","255255255"
2256,"BARELY GREEN","255255255"
2275,"BARELY GREEN","255255255"
2276,"BARELY GREEN EN","255255255"
724,"BARELY ROSE","255255255"
1993,"BARELY ROSEPINK","255255255"
2005,"BARELY ROSEWHIT","255255255"
672,"BARELY VOLT","255255255"
1108,"BAROQUE BROWN","255255255"
1756,"BASE GREY","255255255"
1330,"BASIL GREEN","255255255"
376,"BASKETBALL NATU","255255255"
938,"BATTLE BLUE","255255255"
1753,"BEACH","255255255"
2149,"BEAM ORANGE","255255255"
2125,"BEAM PINK","148153187"
2141,"BEAM YELLOW","255255255"
714,"BEECHTREE","255255255"
15,"BEGE","191185163"
1191,"BEGE CARAMELO","255255255"
309,"BEGE CLARO","237230219"
1729,"BEGE FUNDO DO M","255255255"
1718,"BEGE MELLOW","255255255"
1624,"BEGE METALIZADO","255255255"
87,"BEGE PALHA","241234212"
1623,"BEGE TRANSPAREN","255255255"
1902,"BEIGE TN","255255255"
1681,"BEIGE TONE","255255255"
1674,"BENFICA RED","255255255"
88,"BERINJELA","255255255"
286,"BETERRABA","255255255"
2353,"BETTER SCARLET","255255255"
1160,"BEYOND PINK","255255255"
224,"BIC","255255255"
1457,"BICOASTAL","255255255"
1239,"BINARY BLUE","255255255"
2536,"BINARY BLUE FUL","255255255"
1124,"BIRCH HEATHER","255255255"
2031,"BLAZE ORANGE","255255255"
377,"BLACK","255255255"
2354,"BLACK BLUE MET","255255255"
2397,"BLACK BLUE MET","255255255"
1588,"BLACK BONE","255255255"
1596,"BLACK BONE SUED","255255255"
1530,"BLACK CAMO CREA","255255255"
2257,"BLACK CAMO PRIN","255255255"
1577,"BLACK CARBON","255255255"
1816,"BLACK CARBON CR","255255255"
1587,"BLACK CHARCOAL","255255255"
1817,"BLACK CHARCOAL","255255255"
1540,"BLACK CREAM","255255255"
1547,"BLACK CREAM SUE","255255255"
1590,"BLACK CRIMSON","255255255"
1819,"BLACK FU SUEDE","255255255"
2292,"BLACK GCW#4","255255255"
2297,"BLACK GCW#3","255255255"
1562,"BLACK GREY SUED","255255255"
1593,"BLACK GUM SUEDE","255255255"
1610,"BLACK GUM","255255255"
1630,"BLACK GUN SUEDE","255255255"
887,"BLACK HEATHER","255255255"
2637,"BLACK HEATHERBL","255255255"
1529,"BLACK LAVENDER","255255255"
1789,"BLACK MULTI","255255255"
2295,"BLACK No Sponso","255255255"
943,"BLACK OXIDIZED","255255255"
516,"BLACK REFLECTIV","255255255"
1548,"BLACK SUEDE","255255255"
1940,"BLACK VARSITY M","255255255"
2289,"BLACK two tone","255255255"
1655,"BLACK-WHEAT-WHI","255255255"
2228,"BLACK/WHITE","255255255"
1987,"BLACKBLACK","255255255"
2520,"BLACKBLK","255255255"
1995,"BLACKCHILE RED","255255255"
2018,"BLACKCOCONUT MI","255255255"
2002,"BLACKDARK GREY","255255255"
596,"BLACKENED BLUE","255255255"
2534,"BLACKENED BLUE","255255255"
1986,"BLACKMTLC DARK","255255255"
2017,"BLACKMYSTIC HIB","255255255"
1984,"BLACKPHOTON DUS","255255255"
2267,"BLACKPINK GLAZE","255255255"
2007,"BLACKRUSH PINK","255255255"
2015,"BLACKSAILGUM LI","255255255"
2012,"BLACKSIREN RED","255255255"
1992,"BLACKSUMMIT WHI","255255255"
2006,"BLACKUNIVERSITY","255255255"
1994,"BLACKWHITE","255255255"
2549,"BLACKWHT","255255255"
2088,"BLANC DE BLANC","255255255"
1229,"BLEACHED AQUA","255255255"
612,"BLEACHED CORAL","255255255"
2609,"BLISS BLUE","255255255"
2145,"BLISS LILAC","255255255"
2128,"BLISS ORANGE","255255255"
431,"BLISS PINK","255255255"
1169,"BLK","255255255"
1803,"BLK","255255255"
1824,"BLK CAMO","255255255"
1635,"BLK CORE MUL TI","255255255"
1479,"BLK CORE MULTI","255255255"
2219,"BLK/SCARLET","255255255"
2640,"BLKSG","255255255"
393,"BLUE","255255255"
2026,"BLUE BEYOND TRA","255255255"
1360,"BLUE CHILL","255255255"
2336,"BLUE DAWN","255255255"
2405,"BLUE DAWN AEST","255255255"
584,"BLUE FORCE","255255255"
1135,"BLUE FOX","255255255"
848,"BLUE FURY","255255255"
2337,"BLUE FUSION","255255255"
2399,"BLUE FUSION MET","255255255"
583,"BLUE HERO","255255255"
2188,"BLUE JAY","255255255"
667,"BLUE LAGOON","255255255"
2368,"BLUE LIGHTNING","255255255"
212,"BLUE MOON","255255255"
2643,"BLUE NEBULA","255255255"
747,"BLUE NIGHT F17","255255255"
2406,"BLUE NIGHT","255255255"
1255,"BLUE OXIDE","255255255"
2404,"BLUE OXIDE ADWC","255255255"
922,"BLUE SPARK","255255255"
907,"BLUE SPIRIT","255255255"
695,"BLUE STARDUST","255255255"
1570,"BLUE SUEDE","255255255"
449,"BLUE TINT S18","255255255"
1843,"BLUE TINT","255255255"
581,"BLUE VOID","255255255"
2237,"BLUE WHISPER","255255255"
1778,"BLUEBIRD","255255255"
1521,"BLUSH CREAM SUE","255255255"
1507,"BLUSH LAVENDER","255255255"
1331,"BLUSH METAL","255255255"
1347,"BLUSTERY","255255255"
2060,"BOARDER BLUE","255255255"
748,"BOLD AQUA","255255255"
2621,"BOLD BERRY","255255255"
383,"BOLD BLUE","255255255"
2610,"BOLD GOLD","255255255"
384,"BOLD GREEN","255255255"
1693,"BOLD ORANGE","255255255"
1263,"BOLD PINK","255255255"
1618,"BONE","255255255"
1532,"BONE BLACK SUED","255255255"
1589,"BONE BONE SUEDE","255255255"
1815,"BONE FLAME","255255255"
1876,"BONE X-RAY","255255255"
1552,"BONEHEAD","255255255"
1886,"BOO BROWN","255255255"
2182,"BOOKER DEVIN","255255255"
749,"BOOST BLUE VIOL","255255255"
644,"BORDEAUX","255255255"
89,"BORDO","122031061"
1016,"BOULDER BROWN","255255255"
1303,"BOULDER GREY","255255255"
2482,"BRANCO/PRETO","255255255"
2483,"BRANCO;MEDIEVAL","255255255"
63,"BRANCO","255255255"
314,"BRANCO GELO","255255255"
2489,"BRANCO.","255255255"
2566,"BRANCO/AZUL MAR","255255255"
1304,"BRAVE BLUE","255255255"
1919,"BRIGHT ORANGE","255255255"
750,"BRIGHT BLUE","255255255"
872,"BRIGHT CACTUS","255255255"
628,"BRIGHT CERAMIC","255255255"
869,"BRIGHT CITRUS","255255255"
1434,"BRIGHT CITRON","255255255"
576,"BRIGHT CRIMSON","255255255"
413,"BRIGHT CYAN","255255255"
588,"BRIGHT MANGO","255255255"
2507,"BRIGHT MANDARIN","255255255"
935,"BRIGHT MELON","255255255"
1305,"BRIGHT OCHRE","255255255"
484,"BRIGHT RED","255255255"
2355,"BRIGHT ROYAL","255255255"
1398,"BRIGHT SILVER","255255255"
883,"BRIGHT SPRUCE","255255255"
610,"BRIGHT VIOLET","255255255"
522,"BRIGHT YELLOW","255255255"
17,"BRONZE VELHO","255255255"
52,"BRONZE","255255255"
1463,"BRONZE ECLIPSE","255255255"
2620,"BRONZINE","255255255"
1212,"BROWN","255255255"
1755,"BROWN BASALT","255255255"
2319,"BROWN RICE","255255255"
1569,"BROWN SUEDE","255255255"
2551,"BRT CACTUS","255255255"
2245,"BRT CRIMSON","255255255"
2246,"BRT SPRUCE","255255255"
1459,"BUCKTAN","255255255"
2652,"BUFF GOLD","255255255"
578,"BURGUNDY ASH","255255255"
1950,"BURGUNDY CRUSH","255255255"
2066,"BURNT SIENNA","255255255"
1839,"BURNT SUNRISE","255255255"
2173,"BUTLER JIMMY","255255255"
2312,"BlackLt Crimson","255255255"
1471,"C. WALNUT","255255255"
1821,"C. WALNUT","255255255"
1791,"C.GOLD","255255255"
1497,"C.GREY","255255255"
1488,"C.MAUVE","255255255"
1781,"C.OLIVE","255255255"
539,"CABANA","255255255"
2071,"CABERNET","153000000"
1967,"CACAO  WOW","255255255"
1725,"CACAU","255255255"
1104,"CACTUS FLOWER","255255255"
3,"CAFE","255255255"
43,"CAFE METALICO","255255255"
90,"CAIXA MISTA","255255255"
2046,"CAMEL","255255255"
200,"CAMELIA","255255255"
1129,"CAMELLIA","255255255"
1651,"CAMELO","255255255"
1531,"CAMO BLACK CREA","255255255"
1511,"CAMO CREAM","255255255"
1388,"CAMPFIRE ORANGE","255255255"
180,"CAMUFLADO","255255255"
188,"CANDY","255255255"
1393,"CANDY PINK","255255255"
5,"CANELA","159081048"
709,"CANTEEN","255255255"
1018,"CANTON RED","255255255"
1439,"CANYON GREY","255255255"
927,"CANYON PINK","255255255"
1965,"CANYON PURPLE","255255255"
1794,"CANYON ROCK BRN","255255255"
1429,"CANYON RUST","255255255"
221,"CAPRI","255255255"
2578,"CAPULET OLIVE","255255255"
287,"CAQUI","255255255"
91,"CAQUI ESCURO","255255255"
16,"CARAMELO","255255255"
2476,"CARBENET","255255255"
387,"CARBON","255255255"
1549,"CARBON CREAM","255255255"
1609,"CARBON CREAM SU","255255255"
625,"CARBON HEATHER","255255255"
2260,"CARBON HEATHER","255255255"
2299,"CARBON HEATHERB","255255255"
2300,"CARBON HEATHERB","255255255"
2516,"CARBON HTRBLACK","255255255"
1585,"CARBON SUEDE","255255255"
92,"CARBONO","255255255"
1774,"CARDBOARD","255255255"
1159,"CARDINAL RED","255255255"
256,"CARGO","255255255"
601,"CARGO KHAKI","255255255"
1935,"CARMIM","255255255"
1019,"CAROTENE","255255255"
280,"CARVALHO","255255255"
1741,"CASHMERE","255255255"
265,"CASTANHO","255255255"
264,"CASTANHO AVERME","255255255"
1187,"CASTOR","255255255"
1193,"CASTOR","255255255"
1555,"CAUTION","255255255"
1748,"CAVE PURPLE","255255255"
1837,"CAVE STONE","255255255"
751,"CBLACK","255255255"
1418,"CDGRY5","255255255"
608,"CEDAR","255255255"
1427,"CELADON","255255255"
2062,"CELERY","255255255"
284,"CELESTE","255255255"
2502,"CELESTIAL GOLD","255255255"
702,"CELESTINE BLUE","255255255"
2436,"CENOURA","255255255"
1573,"CENSORED","255255255"
1306,"CERAMIC PINK","255255255"
2116,"CERAMICA","255255255"
191,"CEREJA","255255255"
851,"CERULEAN","255255255"
1391,"CEU DE INVERNO","255255255"
2517,"CFWH","255255255"
1017,"CHALK","255255255"
1313,"CHALK BLUE","255255255"
530,"CHALK WHITE","247235245"
1793,"CHALK WHITE MUL","255255255"
921,"CHALLENGE RED","255255255"
934,"CHAMPAGNE","255255255"
1287,"CHAMPAGNE MET.","255255255"
1077,"CHARCOAL","255255255"
1595,"CHARCOAL BUTTER","255255255"
1616,"CHARCOAL BLACK","255255255"
541,"CHARCOAL HEATHR","255255255"
1414,"CHARMING PINK","255255255"
1631,"CHAROCOAL BUTTE","255255255"
1505,"CHEATER DENIM C","255255255"
1580,"CHEETAH","255255255"
1600,"CHEETAH BONE CR","255255255"
1603,"CHEETAH CARBON","255255255"
1557,"CHEETAH CHARCOA","255255255"
1604,"CHEETAH CHOCOLA","255255255"
1597,"CHEETAH GREY","255255255"
1629,"CHEETAH GRAY","255255255"
1567,"CHEETAH WHITE","255255255"
1002,"CHERRY MET.","255255255"
2242,"CHERRYWOOD RED","255255255"
2439,"CHICLETE","255255255"
2318,"CHICORY COFFE","255255255"
1132,"CHILE RED","255255255"
697,"CHINA ROSE","255255255"
1372,"CHLORINE BLUE","255255255"
2055,"CHLOROPHYLL","255255255"
1490,"CHMBRYJ","255255255"
10,"CHOCOLATE","255255255"
1607,"CHOCOLATE GUM S","255255255"
1627,"CHOCOLATE GUN S","255255255"
1877,"CHOCOLATE SHADE","255255255"
676,"CHROME","255255255"
580,"CHROME YELLOW","255255255"
26,"CHUMBO","122137143"
1218,"CHUTNEY","255255255"
239,"CIANO","255255255"
2334,"CIBER PINK","255255255"
1842,"CIDER","255255255"
639,"CINNABAR","255255255"
66,"CINZA","255255255"
93,"CINZA ACO","255255255"
94,"CINZA CARBONO","255255255"
95,"CINZA CHUMBO","255255255"
177,"CINZA CLARO","190189189"
2112,"CINZA CLARO MES","202203207"
96,"CINZA DARK","255255255"
258,"CINZA ESCURO","255255255"
2110,"CINZA ESCURO ME","103099095"
97,"CINZA GELO","255255255"
2471,"CINZA GLITTER R","255255255"
98,"CINZA LIGHT","255255255"
261,"CINZA MEDIO","255255255"
2107,"CINZA MESCLA ES","255255255"
2109,"CINZA MESCLA MÉ","255255255"
2113,"CINZA MESCLA ME","255255255"
2115,"CINZA MESCLA MÉ","255255255"
2443,"CINZA MESCLADO","255255255"
2565,"CINZA MESCLA/BR","255255255"
255,"CINZA METALICO","255255255"
2427,"CINZA MILITAR","255255255"
2431,"CINZA MILITAR","255255255"
2117,"CINZA MÉDIO MES","164165160"
306,"CINZA NEBLINA","255255255"
251,"CINZA PEROLA","255255255"
181,"CINZA RATO","255255255"
271,"CINZA URZE ESCU","255255255"
2224,"CINZA/BRANCO","255255255"
2484,"CINZA MESC;PRET","255255255"
1764,"CITRON","255255255"
1451,"CITRON PULSE","255255255"
2023,"CITRON TINT","255255255"
2403,"CITRONELA","255255255"
1428,"CLASSIC GREEN","255255255"
1020,"CLASSIC PINK","255255255"
1170,"CLASSIC WHITE","255255255"
2611,"CLAY STRATA","255255255"
1153,"CLAYSTONE RED","255255255"
680,"CLEAR","255255255"
752,"CLEAR","255255255"
753,"CLEAR BROWN","255255255"
1859,"CLEAR EMERALD","255255255"
488,"CLEAR GREY","255255255"
1236,"CLEAR JADE","255255255"
2625,"CLEAR JADE II","255255255"
1264,"CLEAR LILAC","255255255"
1265,"CLEAR LILAC","255255255"
391,"CLEAR MINT","255255255"
