"02-2022","Fevereiro 2022",167153,30006
"01-2022","Janeiro 2022",167153,10012
"12-2021","Dezembro 2021",167154,20054
"02-2022","Fevereiro 2022",167154,30006
"01-2022","Janeiro 2022",167154,10000
"03-2022","Março 2022",175197,10168
"05-2022","Maio 2022",175197,10132
"04-2022","Abril 2022",175197,10390
"03-2022","Março 2022",175198,10090
"05-2022","Maio 2022",175198,10042
"04-2022","Abril 2022",175198,10210
"03-2022","Março 2022",175203,10036
"05-2022","Maio 2022",175203,10012
"04-2022","Abril 2022",175203,10096
"03-2022","Março 2022",175204,10024
"05-2022","Maio 2022",175204,10006
"04-2022","Abril 2022",175204,10078
"03-2022","Março 2022",175205,10132
"05-2022","Maio 2022",175205,10072
"04-2022","Abril 2022",175205,10174
"12-2021","Dezembro 2021",167147,20012
"01-2022","Janeiro 2022",167147,10018
"02-2022","Fevereiro 2022",167147,30006
"03-2022","Março 2022",175199,10006
"05-2022","Maio 2022",175199,10000
"04-2022","Abril 2022",175199,10030
"12-2021","Dezembro 2021",167156,20090
"02-2022","Fevereiro 2022",167156,30012
"01-2022","Janeiro 2022",167156,10036
"03-2022","Março 2022",175207,10084
"05-2022","Maio 2022",175207,10090
"04-2022","Abril 2022",175207,10138
"12-2021","Dezembro 2021",167152,20012
"01-2022","Janeiro 2022",167152,10006
"02-2022","Fevereiro 2022",167152,30006
"12-2021","Dezembro 2021",166037,20222
"02-2022","Fevereiro 2022",166037,30162
"01-2022","Janeiro 2022",166037,10066
"03-2022","Março 2022",173660,10048
"05-2022","Maio 2022",173660,10000
"04-2022","Abril 2022",173660,10090
"05-2022","Maio 2022",173660,24
"03-2022","Março 2022",175200,10108
"05-2022","Maio 2022",175200,10012
"04-2022","Abril 2022",175200,10030
"12-2021","Dezembro 2021",167148,20036
"02-2022","Fevereiro 2022",167148,30000
"01-2022","Janeiro 2022",167148,10000
"12-2021","Dezembro 2021",167150,20066
"01-2022","Janeiro 2022",167150,10018
"02-2022","Fevereiro 2022",167150,30006
"03-2022","Março 2022",175202,10162
"04-2022","Abril 2022",175202,10150
"05-2022","Maio 2022",175202,10072
